Date,AUSTRIA SMID VALUE SMID (Small+Mid Cap)
1994-05-31,99.137
1994-06-30,103.341
1994-07-29,105.872
1994-08-31,110.559
1994-09-30,105.671
1994-10-31,105.711
1994-11-30,99.046
1994-12-30,101.419
1995-01-31,95.741
1995-02-28,97.555
1995-03-31,94.937
1995-04-28,91.656
1995-05-31,94.018
1995-06-30,94.979
1995-07-31,97.211
1995-08-31,90.585
1995-09-29,89.856
1995-10-31,88.18
1995-11-30,84.953
1995-12-29,87.629
1996-01-31,89.862
1996-02-29,90.574
1996-03-29,90.335
1996-04-30,90.217
1996-05-31,92.878
1996-06-28,91.508
1996-07-31,90.933
1996-08-30,89.647
1996-09-30,88.29
1996-10-31,89.313
1996-11-29,88.344
1996-12-31,90.417
1997-01-31,87.931
1997-02-28,87.85
1997-03-31,90.505
1997-04-30,86.052
1997-05-30,92.934
1997-06-30,93.278
1997-07-31,94.446
1997-08-29,90.339
1997-09-30,95.227
1997-10-31,92.861
1997-11-28,90.777
1997-12-31,96.683
1998-01-30,98.871
1998-02-27,106.777
1998-03-31,111.785
1998-04-30,119.177
1998-05-29,126.582
1998-06-30,121.583
1998-07-31,127.74
1998-08-31,118.28
1998-09-30,115.793
1998-10-30,121.562
1998-11-30,116.665
1998-12-31,118.163
1999-01-29,111.795
1999-02-26,112.432
1999-03-31,109.493
1999-04-30,115.581
1999-05-31,108.74
1999-06-30,112.253
1999-07-30,111.183
1999-08-31,112.042
1999-09-30,106.878
1999-10-29,107.338
1999-11-30,102.493
1999-12-31,106.182
2000-01-31,103.384
2000-02-29,97.489
2000-03-31,98.323
2000-04-28,96.328
2000-05-31,98.944
2000-06-30,102.259
2000-07-31,97.085
2000-08-31,94.653
2000-09-29,92.987
2000-10-31,87.538
2000-11-30,87.183
2000-12-29,92.478
2001-01-31,93.275
2001-02-28,98.66
2001-03-30,93.423
2001-04-30,96.473
2001-05-31,93.473
2001-06-29,94.984
2001-07-31,100.33
2001-08-31,103.177
2001-09-28,95.375
2001-10-31,90.4
2001-11-30,93.718
2001-12-31,95.348
2002-01-31,95.113
2002-02-28,99.594
2002-03-29,107.15
2002-04-30,115.637
2002-05-31,118.775
2002-06-28,123.226
2002-07-31,111.079
2002-08-30,112.401
2002-09-30,108.679
2002-10-31,113.715
2002-11-29,113.104
2002-12-31,122.348
2003-01-31,126.754
2003-02-28,129.63
2003-03-31,131.257
2003-04-30,143.234
2003-05-30,153.755
2003-06-30,157.592
2003-07-31,157.515
2003-08-29,156.781
2003-09-30,161.506
2003-10-31,165.072
2003-11-28,182.127
2003-12-31,193.32
2004-01-30,211.352
2004-02-27,218.403
2004-03-31,233.532
2004-04-30,228.516
2004-05-31,230.074
2004-06-30,247.185
2004-07-30,255.988
2004-08-31,267.617
2004-09-30,285.182
2004-10-29,296.844
2004-11-30,341.36
2004-12-31,373.409
2005-01-31,377.276
2005-02-28,415.784
2005-03-31,384.457
2005-04-29,366.606
2005-05-31,392.916
2005-06-30,432.326
2005-07-29,456.264
2005-08-31,501.765
2005-09-30,533.686
2005-10-31,498.57
2005-11-30,509.442
2005-12-30,524.293
2006-01-31,579.033
2006-02-28,584.027
2006-03-31,623.94
2006-04-28,661.9
2006-05-31,651.124
2006-06-30,638.973
2006-07-31,648.805
2006-08-31,665.588
2006-09-29,675.389
2006-10-31,713.668
2006-11-30,749.569
2006-12-29,796.474
2007-01-31,819.727
2007-02-28,824.909
2007-03-30,900.416
2007-04-30,976.752
2007-05-31,1000.0
2007-06-29,949.004
2007-07-31,883.38
2007-08-31,890.144
2007-09-28,866.322
2007-10-31,897.596
2007-11-30,812.822
2007-12-31,792.325
2008-01-31,717.921
2008-02-29,769.833
2008-03-31,762.037
2008-04-30,806.746
2008-05-30,823.369
2008-06-30,731.32
2008-07-31,627.538
2008-08-29,598.815
2008-09-30,387.117
2008-10-31,251.444
2008-11-28,189.788
2008-12-31,208.413
2009-01-30,199.06
2009-02-27,170.371
2009-03-31,190.807
2009-04-30,225.881
2009-05-29,272.227
2009-06-30,264.111
2009-07-31,284.88
2009-08-31,354.501
2009-09-30,394.172
2009-10-30,366.596
2009-11-30,378.402
2009-12-31,363.055
2010-01-29,352.258
2010-02-26,341.853
2010-03-31,374.364
2010-04-30,364.163
2010-05-31,300.545
2010-06-30,299.557
2010-07-30,335.829
2010-08-31,325.393
2010-09-30,364.903
2010-10-29,383.005
2010-11-30,349.771
2010-12-31,391.687
2011-01-31,396.64
2011-02-28,408.189
2011-03-31,419.069
2011-04-29,442.445
2011-05-31,412.814
2011-06-30,395.449
2011-07-29,374.182
2011-08-31,341.891
2011-09-30,291.316
2011-10-31,314.372
2011-11-30,286.344
2011-12-30,285.457
2012-01-31,309.317
2012-02-29,324.874
2012-03-30,323.026
2012-04-30,313.307
2012-05-31,266.27
2012-06-29,287.473
2012-07-31,283.313
2012-08-31,285.169
2012-09-28,298.632
2012-10-31,311.677
2012-11-30,326.862
2012-12-31,350.743
2013-01-31,366.554
2013-02-28,343.477
2013-03-29,324.795
2013-04-30,338.199
2013-05-31,340.637
2013-06-28,319.335
2013-07-31,349.206
2013-08-30,360.824
2013-09-30,399.633
2013-10-31,412.869
2013-11-29,424.126
2013-12-31,412.492
2014-01-31,406.354
2014-02-28,419.637
2014-03-31,405.127
2014-04-30,410.854
2014-05-30,411.328
2014-06-30,416.907
2014-07-31,391.96
2014-08-29,384.936
2014-09-30,356.118
2014-10-31,357.948
2014-11-28,363.257
2014-12-31,333.422
2015-01-30,312.995
2015-02-27,351.017
2015-03-31,335.786
2015-04-30,354.634
2015-05-29,345.38
2015-06-30,331.593
2015-07-31,343.971
2015-08-31,320.065
2015-09-30,307.167
2015-10-30,334.227
2015-11-30,315.938
2015-12-31,311.251
2016-01-29,275.721
2016-02-29,285.088
2016-03-31,318.026
2016-04-29,331.678
2016-05-31,319.789
2016-06-30,308.808
2016-07-29,323.481
2016-08-31,333.609
2016-09-30,346.522
2016-10-31,346.663
2016-11-30,353.2
2016-12-30,364.259
2017-01-31,381.599
2017-02-28,391.641
2017-03-31,398.963
2017-04-28,432.82
2017-05-31,476.326
2017-06-30,480.065
2017-07-31,520.802
2017-08-31,537.183
2017-09-29,540.109
2017-10-31,553.827
2017-11-30,566.385
2017-12-29,590.625
2018-01-31,617.675
2018-02-28,570.398
2018-03-30,570.912
2018-04-30,587.323
2018-05-31,572.055
2018-06-29,544.496
2018-07-31,573.577
2018-08-31,542.976
2018-09-28,544.464
2018-10-31,498.04
2018-11-30,478.68
2018-12-31,435.238
2019-01-31,474.611
2019-02-28,474.548
2019-03-29,476.556
2019-04-30,497.753
2019-05-31,459.177
2019-06-28,483.606
2019-07-31,475.817
2019-08-30,463.907
2019-09-30,475.721
2019-10-31,509.439
2019-11-29,503.411
2019-12-31,519.952
2020-01-31,486.18
2020-02-28,433.445
2020-03-31,341.376
2020-04-30,365.722
2020-05-29,371.749
2020-06-30,380.591
2020-07-31,375.225
2020-08-31,397.859
2020-09-30,367.45
2020-10-30,354.853
2020-11-30,457.3
2020-12-31,500.011
2021-01-29,515.298
2021-02-26,546.869
2021-03-31,562.951
2021-04-30,587.251
2021-05-31,640.885
2021-06-30,616.543
2021-07-30,628.013
2021-08-31,642.723
2021-09-30,662.558
2021-10-29,675.442
2021-11-30,648.694
2021-12-31,686.12
2022-01-31,676.711
2022-02-28,575.902
2022-03-31,557.924
2022-04-29,530.867
2022-05-31,560.74
2022-06-30,467.566
2022-07-29,476.873
2022-08-31,457.781
2022-09-30,420.517
2022-10-31,475.333
2022-11-30,540.62
2022-12-30,549.156
2023-01-31,614.5
2023-02-28,630.989
2023-03-31,577.627
2023-04-28,604.134
2023-05-31,557.854
2023-06-30,599.049
2023-07-31,625.347
2023-08-31,598.049
2023-09-29,585.543
2023-10-31,566.818
2023-11-30,625.257
2023-12-29,662.506
2024-01-31,672.509
2024-02-29,653.152
2024-03-29,700.129
2024-04-30,706.009
2024-05-31,758.168
2024-06-28,736.294
2024-07-31,776.535
2024-08-30,800.827
2024-09-30,804.831
2024-10-31,767.429
2024-11-29,749.934
2024-12-31,784.245
2025-01-31,822.937
2025-02-28,896.76
2025-03-31,936.902
2025-04-30,987.556
2025-05-30,1111.95
2025-06-30,1169.83
2025-07-31,1188.972
2025-08-29,1239.225
2025-09-30,1257.578
2025-10-31,1296.247
2025-11-28,1360.378
2025-12-31,1467.243
