Date,HONG KONG MID GROWTH Mid Cap
1994-05-31,451.822
1994-06-30,437.403
1994-07-29,466.228
1994-08-31,473.694
1994-09-30,497.229
1994-10-31,488.976
1994-11-30,419.969
1994-12-30,419.053
1995-01-31,380.161
1995-02-28,412.898
1995-03-31,407.063
1995-04-28,414.569
1995-05-31,455.109
1995-06-30,450.248
1995-07-31,470.606
1995-08-31,450.534
1995-09-29,471.42
1995-10-31,480.097
1995-11-30,466.488
1995-12-29,480.626
1996-01-31,547.993
1996-02-29,558.299
1996-03-29,546.863
1996-04-30,533.809
1996-05-31,544.926
1996-06-28,558.356
1996-07-31,537.718
1996-08-30,563.512
1996-09-30,572.6
1996-10-31,578.707
1996-11-29,653.378
1996-12-31,663.458
1997-01-31,712.759
1997-02-28,748.535
1997-03-31,715.285
1997-04-30,733.652
1997-05-30,786.573
1997-06-30,707.078
1997-07-31,673.341
1997-08-29,577.753
1997-09-30,572.459
1997-10-31,387.642
1997-11-28,391.164
1997-12-31,412.712
1998-01-30,333.129
1998-02-27,407.25
1998-03-31,415.934
1998-04-30,390.487
1998-05-29,347.016
1998-06-30,313.246
1998-07-31,320.7
1998-08-31,250.479
1998-09-30,284.277
1998-10-30,325.763
1998-11-30,343.639
1998-12-31,346.234
1999-01-29,321.093
1999-02-26,315.259
1999-03-31,345.211
1999-04-30,393.375
1999-05-31,391.928
1999-06-30,438.776
1999-07-30,435.819
1999-08-31,437.043
1999-09-30,419.824
1999-10-29,450.909
1999-11-30,540.225
1999-12-31,521.448
2000-01-31,509.881
2000-02-29,503.807
2000-03-31,546.751
2000-04-28,494.427
2000-05-31,450.162
2000-06-30,518.693
2000-07-31,509.168
2000-08-31,479.51
2000-09-29,472.898
2000-10-31,428.165
2000-11-30,426.455
2000-12-29,400.026
2001-01-31,423.612
2001-02-28,399.141
2001-03-30,355.616
2001-04-30,433.282
2001-05-31,423.8
2001-06-29,386.306
2001-07-31,392.252
2001-08-31,323.344
2001-09-28,250.242
2001-10-31,260.292
2001-11-30,307.4
2001-12-31,327.492
2002-01-31,337.428
2002-02-28,342.112
2002-03-29,387.068
2002-04-30,411.143
2002-05-31,396.644
2002-06-28,369.477
2002-07-31,336.855
2002-08-30,319.607
2002-09-30,288.375
2002-10-31,299.606
2002-11-29,324.43
2002-12-31,295.539
2003-01-31,305.787
2003-02-28,297.363
2003-03-31,285.553
2003-04-30,298.527
2003-05-30,320.992
2003-06-30,337.95
2003-07-31,356.815
2003-08-29,395.979
2003-09-30,418.227
2003-10-31,438.578
2003-11-28,443.15
2003-12-31,444.186
2004-01-30,472.534
2004-02-27,490.063
2004-03-31,457.536
2004-04-30,443.584
2004-05-31,441.3
2004-06-30,439.654
2004-07-30,440.907
2004-08-31,442.113
2004-09-30,457.69
2004-10-29,453.931
2004-11-30,495.336
2004-12-31,498.325
2005-01-31,477.218
2005-02-28,486.434
2005-03-31,482.819
2005-04-29,495.128
2005-05-31,503.354
2005-06-30,531.512
2005-07-29,580.493
2005-08-31,570.56
2005-09-30,609.597
2005-10-31,576.451
2005-11-30,627.196
2005-12-30,648.524
2006-01-31,689.732
2006-02-28,699.373
2006-03-31,730.208
2006-04-28,795.959
2006-05-31,748.105
2006-06-30,763.063
2006-07-31,755.305
2006-08-31,782.607
2006-09-29,810.406
2006-10-31,799.568
2006-11-30,848.042
2006-12-29,891.924
2007-01-31,926.333
2007-02-28,916.266
2007-03-30,940.85
2007-04-30,956.751
2007-05-31,1000.0
2007-06-29,1005.612
2007-07-31,1100.313
2007-08-31,1134.276
2007-09-28,1266.831
2007-10-31,1409.643
2007-11-30,1305.02
2007-12-31,1304.877
2008-01-31,1062.405
2008-02-29,1115.904
2008-03-31,1011.876
2008-04-30,1097.392
2008-05-30,1062.526
2008-06-30,924.976
2008-07-31,772.302
2008-08-29,689.879
2008-09-30,496.548
2008-10-31,371.676
2008-11-28,367.062
2008-12-31,393.208
2009-01-30,381.128
2009-02-27,350.754
2009-03-31,386.639
2009-04-30,490.122
2009-05-29,588.551
2009-06-30,563.233
2009-07-31,636.446
2009-08-31,588.333
2009-09-30,664.434
2009-10-30,714.77
2009-11-30,700.158
2009-12-31,732.803
2010-01-29,651.546
2010-02-26,676.963
2010-03-31,728.889
2010-04-30,704.762
2010-05-31,617.255
2010-06-30,638.532
2010-07-30,708.947
2010-08-31,707.254
2010-09-30,775.517
2010-10-29,776.936
2010-11-30,795.346
2010-12-31,840.418
2011-01-31,838.185
2011-02-28,794.817
2011-03-31,809.546
2011-04-29,890.168
2011-05-31,891.508
2011-06-30,852.984
2011-07-29,856.673
2011-08-31,790.377
2011-09-30,635.808
2011-10-31,734.578
2011-11-30,659.563
2011-12-30,667.243
2012-01-31,720.874
2012-02-29,777.889
2012-03-30,774.799
2012-04-30,804.562
2012-05-31,720.8
2012-06-29,737.062
2012-07-31,758.676
2012-08-31,778.199
2012-09-28,830.552
2012-10-31,853.308
2012-11-30,923.371
2012-12-31,905.07
2013-01-31,996.799
2013-02-28,992.992
2013-03-29,963.181
2013-04-30,989.912
2013-05-31,1011.225
2013-06-28,970.484
2013-07-31,939.089
2013-08-30,905.312
2013-09-30,960.758
2013-10-31,969.101
2013-11-29,968.407
2013-12-31,1035.187
2014-01-31,985.277
2014-02-28,1002.078
2014-03-31,941.164
2014-04-30,974.287
2014-05-30,961.889
2014-06-30,960.303
2014-07-31,979.026
2014-08-29,936.327
2014-09-30,878.585
2014-10-31,932.504
2014-11-28,915.763
2014-12-31,875.434
2015-01-30,872.896
2015-02-27,895.494
2015-03-31,878.578
2015-04-30,942.234
2015-05-29,920.89
2015-06-30,896.447
2015-07-31,909.643
2015-08-31,816.111
2015-09-30,816.55
2015-10-30,871.373
2015-11-30,896.236
2015-12-31,890.946
2016-01-29,840.62
2016-02-29,855.56
2016-03-31,915.636
2016-04-29,913.45
2016-05-31,931.64
2016-06-30,963.234
2016-07-29,1043.173
2016-08-31,994.019
2016-09-30,1027.23
2016-10-31,1010.854
2016-11-30,1041.158
2016-12-30,964.878
2017-01-31,1031.45
2017-02-28,1030.928
2017-03-31,1095.142
2017-04-28,1149.629
2017-05-31,1215.648
2017-06-30,1209.283
2017-07-31,1200.963
2017-08-31,1256.484
2017-09-29,1307.34
2017-10-31,1346.669
2017-11-30,1411.633
2017-12-29,1474.978
2018-01-31,1463.332
2018-02-28,1397.912
2018-03-30,1338.111
2018-04-30,1392.5
2018-05-31,1391.836
2018-06-29,1326.144
2018-07-31,1314.6
2018-08-31,1315.342
2018-09-28,1275.635
2018-10-31,1092.24
2018-11-30,1198.702
2018-12-31,1210.141
2019-01-31,1309.039
2019-02-28,1384.081
2019-03-29,1383.913
2019-04-30,1422.883
2019-05-31,1319.234
2019-06-28,1404.021
2019-07-31,1376.492
2019-08-30,1309.055
2019-09-30,1260.263
2019-10-31,1318.797
2019-11-29,1321.812
2019-12-31,1360.105
2020-01-31,1282.247
2020-02-28,1232.416
2020-03-31,994.346
2020-04-30,1154.845
2020-05-29,1196.159
2020-06-30,1355.176
2020-07-31,1435.537
2020-08-31,1643.509
2020-09-30,1678.996
2020-10-30,1690.307
2020-11-30,1711.028
2020-12-31,1912.489
2021-01-29,1803.401
2021-02-26,1904.837
2021-03-31,1872.791
2021-04-30,1896.969
2021-05-31,1736.94
2021-06-30,1943.72
2021-07-30,1519.036
2021-08-31,1360.366
2021-09-30,1226.919
2021-10-29,1114.235
2021-11-30,1156.688
2021-12-31,1145.334
2022-01-31,1141.372
2022-02-28,1160.439
2022-03-31,1058.614
2022-04-29,1026.977
2022-05-31,1053.479
2022-06-30,1026.092
2022-07-29,979.3
2022-08-31,991.765
2022-09-30,830.643
2022-10-31,652.912
2022-11-30,928.239
2022-12-30,790.159
2023-01-31,837.733
2023-02-28,764.719
2023-03-31,800.466
2023-04-28,704.769
2023-05-31,640.172
2023-06-30,713.76
2023-07-31,826.505
2023-08-31,772.203
2023-09-29,751.095
2023-10-31,742.592
2023-11-30,752.543
2023-12-29,777.872
2024-01-31,675.383
2024-02-29,750.209
2024-03-29,689.991
2024-04-30,779.002
2024-05-31,938.389
2024-06-28,922.026
2024-07-31,938.043
2024-08-30,978.202
2024-09-30,1126.445
2024-10-31,1114.086
2024-11-29,1098.696
2024-12-31,1114.394
2025-01-31,1084.248
2025-02-28,1097.889
2025-03-31,1074.895
2025-04-30,1067.412
2025-05-30,1153.644
2025-06-30,1225.328
2025-07-31,1352.06
2025-08-29,1439.423
2025-09-30,1447.753
2025-10-31,1424.791
2025-11-28,1419.607
2025-12-31,1374.526
2026-01-30,1460.343
