Date,ISRAEL IMI VALUE IMI (Large+Mid+Small Cap)
2002-05-31,281.968
2002-06-28,280.192
2002-07-31,283.422
2002-08-30,285.236
2002-09-30,268.678
2002-10-31,277.619
2002-11-29,307.724
2002-12-31,282.698
2003-01-31,276.231
2003-02-28,277.642
2003-03-31,305.911
2003-04-30,353.516
2003-05-30,391.178
2003-06-30,425.805
2003-07-31,402.466
2003-08-29,406.548
2003-09-30,408.343
2003-10-31,428.692
2003-11-28,457.637
2003-12-31,467.275
2004-01-30,491.155
2004-02-27,505.012
2004-03-31,507.608
2004-04-30,512.359
2004-05-31,513.706
2004-06-30,551.539
2004-07-30,497.164
2004-08-31,474.19
2004-09-30,471.846
2004-10-29,483.223
2004-11-30,526.761
2004-12-31,574.846
2005-01-31,586.124
2005-02-28,601.876
2005-03-31,595.293
2005-04-29,599.212
2005-05-31,627.619
2005-06-30,565.702
2005-07-29,615.991
2005-08-31,635.562
2005-09-30,665.825
2005-10-31,652.161
2005-11-30,672.333
2005-12-30,697.708
2006-01-31,710.111
2006-02-28,689.11
2006-03-31,693.762
2006-04-28,750.472
2006-05-31,735.894
2006-06-30,684.401
2006-07-31,699.502
2006-08-31,717.143
2006-09-29,754.808
2006-10-31,817.255
2006-11-30,853.461
2006-12-29,843.44
2007-01-31,872.004
2007-02-28,879.383
2007-03-30,900.887
2007-04-30,959.242
2007-05-31,1000.0
2007-06-29,968.93
2007-07-31,968.899
2007-08-31,960.791
2007-09-28,1032.67
2007-10-31,1084.006
2007-11-30,1050.282
2007-12-31,1073.234
2008-01-31,1022.055
2008-02-29,1046.121
2008-03-31,985.235
2008-04-30,1053.822
2008-05-30,1102.497
2008-06-30,1032.788
2008-07-31,979.374
2008-08-29,958.645
2008-09-30,873.374
2008-10-31,704.166
2008-11-28,662.165
2008-12-31,685.584
2009-01-30,670.229
2009-02-27,708.73
2009-03-31,736.453
2009-04-30,803.375
2009-05-29,901.868
2009-06-30,915.09
2009-07-31,1032.137
2009-08-31,1018.272
2009-09-30,1031.021
2009-10-30,1055.808
2009-11-30,1110.645
2009-12-31,1175.844
2010-01-29,1190.801
2010-02-26,1216.403
2010-03-31,1306.945
2010-04-30,1208.178
2010-05-31,1073.782
2010-06-30,1049.165
2010-07-30,1075.153
2010-08-31,1090.081
2010-09-30,1211.392
2010-10-29,1224.11
2010-11-30,1215.168
2010-12-31,1305.255
2011-01-31,1250.729
2011-02-28,1223.978
2011-03-31,1281.313
2011-04-29,1244.471
2011-05-31,1248.253
2011-06-30,1193.374
2011-07-29,1163.797
2011-08-31,993.24
2011-09-30,875.036
2011-10-31,996.436
2011-11-30,898.845
2011-12-30,884.786
2012-01-31,962.662
2012-02-29,927.264
2012-03-30,948.823
2012-04-30,960.632
2012-05-31,824.304
2012-06-29,782.2
2012-07-31,787.636
2012-08-31,789.006
2012-09-28,851.959
2012-10-31,897.127
2012-11-30,927.01
2012-12-31,897.749
2013-01-31,900.297
2013-02-28,934.351
2013-03-29,970.503
2013-04-30,971.565
2013-05-31,963.385
2013-06-28,957.957
2013-07-31,994.148
2013-08-30,968.693
2013-09-30,1006.177
2013-10-31,1007.232
2013-11-29,1059.704
2013-12-31,1052.023
2014-01-31,1093.315
2014-02-28,1178.508
2014-03-31,1242.993
2014-04-30,1219.379
2014-05-30,1228.85
2014-06-30,1264.598
2014-07-31,1276.065
2014-08-29,1244.266
2014-09-30,1262.787
2014-10-31,1235.579
2014-11-28,1251.805
2014-12-31,1227.587
2015-01-30,1207.96
2015-02-27,1217.882
2015-03-31,1326.855
2015-04-30,1331.957
2015-05-29,1324.705
2015-06-30,1329.662
2015-07-31,1455.799
2015-08-31,1326.22
2015-09-30,1242.674
2015-10-30,1326.516
2015-11-30,1309.555
2015-12-31,1324.731
2016-01-29,1234.53
2016-02-29,1207.88
2016-03-31,1223.661
2016-04-29,1260.006
2016-05-31,1205.478
2016-06-30,1173.288
2016-07-29,1248.629
2016-08-31,1232.93
2016-09-30,1211.114
2016-10-31,1139.584
2016-11-30,1127.322
2016-12-30,1125.891
2017-01-31,1111.62
2017-02-28,1168.426
2017-03-31,1139.443
2017-04-28,1145.581
2017-05-31,1140.738
2017-06-30,1240.935
2017-07-31,1218.224
2017-08-31,932.697
2017-09-29,978.682
2017-10-31,929.442
2017-11-30,962.442
2017-12-29,1051.626
2018-01-31,1100.919
2018-02-28,1036.442
2018-03-30,979.505
2018-04-30,983.306
2018-05-31,1061.537
2018-06-29,1082.016
2018-07-31,1100.775
2018-08-31,1149.474
2018-09-28,1122.521
2018-10-31,1057.141
2018-11-30,1101.371
2018-12-31,935.086
2019-01-31,1074.758
2019-02-28,1032.754
2019-03-29,1001.137
2019-04-30,1043.443
2019-05-31,921.554
2019-06-28,974.978
2019-07-31,972.226
2019-08-30,923.36
2019-09-30,964.635
2019-10-31,991.769
2019-11-29,1061.804
2019-12-31,1052.111
2020-01-31,1057.699
2020-02-28,1010.865
2020-03-31,796.189
2020-04-30,869.06
2020-05-29,864.121
2020-06-30,809.514
2020-07-31,821.974
2020-08-31,836.223
2020-09-30,749.485
2020-10-30,780.428
2020-11-30,913.671
2020-12-31,973.943
2021-01-29,1006.591
2021-02-26,975.61
2021-03-31,1032.299
2021-04-30,1083.137
2021-05-31,1136.278
2021-06-30,1126.93
2021-07-30,1135.485
2021-08-31,1173.465
2021-09-30,1176.553
2021-10-29,1250.685
2021-11-30,1257.571
2021-12-31,1329.897
2022-01-31,1308.905
2022-02-28,1330.118
2022-03-31,1368.436
2022-04-29,1300.408
2022-05-31,1211.241
2022-06-30,1081.621
2022-07-29,1179.113
2022-08-31,1275.995
2022-09-30,1072.165
2022-10-31,1154.519
2022-11-30,1134.27
2022-12-30,1062.352
2023-01-31,1104.295
2023-02-28,1001.991
2023-03-31,989.38
2023-04-28,995.475
2023-05-31,951.273
2023-06-30,987.427
2023-07-31,1073.215
2023-08-31,1041.356
2023-09-29,1070.968
2023-10-31,885.933
2023-11-30,1031.74
2023-12-29,1112.178
2024-01-31,1106.711
2024-02-29,1197.867
2024-03-29,1196.215
2024-04-30,1143.188
2024-05-31,1192.37
2024-06-28,1149.776
2024-07-31,1205.981
2024-08-30,1317.855
2024-09-30,1330.293
2024-10-31,1381.143
2024-11-29,1474.005
2024-12-31,1611.304
2025-01-31,1636.173
2025-02-28,1661.052
2025-03-31,1567.498
2025-04-30,1682.803
2025-05-30,1866.021
2025-06-30,2150.474
2025-07-31,2142.0
2025-08-29,2221.023
2025-09-30,2301.905
2025-10-31,2378.227
2025-11-28,2489.171
2025-12-31,2655.777
2026-01-30,2904.285
